CMDLINE /home/shuki/anaconda3/envs/torch/bin/python3.8 triplets_gui.py
MEM 2877.246094 1616577517.0521
MEM 2877.246094 1616577517.1523
MEM 2877.246094 1616577517.2526
MEM 2877.246094 1616577517.3528
MEM 2877.246094 1616577517.4531
MEM 2877.246094 1616577517.5534
MEM 2879.050781 1616577517.6536
MEM 2879.050781 1616577517.7539
MEM 2879.050781 1616577517.8541
MEM 2879.050781 1616577517.9544
MEM 2879.050781 1616577518.0547
MEM 2879.050781 1616577518.1549
MEM 2879.050781 1616577518.2551
MEM 2879.050781 1616577518.3554
MEM 2879.050781 1616577518.4557
MEM 1387.699219 1616577518.5560
MEM 1218.445312 1616577518.6563
MEM 1533.496094 1616577518.7567
MEM 1780.171875 1616577518.8570
MEM 2057.882812 1616577518.9573
MEM 2466.148438 1616577519.0576
MEM 2533.953125 1616577519.1578
MEM 2533.953125 1616577519.2581
MEM 2533.953125 1616577519.3583
MEM 2533.953125 1616577519.4586
MEM 2533.953125 1616577519.5588
MEM 2536.015625 1616577519.6591
MEM 2536.015625 1616577519.7594
MEM 2536.015625 1616577519.8597
MEM 2536.015625 1616577519.9599
MEM 2536.015625 1616577520.0602
MEM 2536.015625 1616577520.1604
MEM 2536.015625 1616577520.2607
MEM 2536.015625 1616577520.3609
MEM 2536.015625 1616577520.4612
MEM 2536.015625 1616577520.5615
MEM 2598.148438 1616577520.6617
MEM 2598.148438 1616577520.7620
MEM 2598.148438 1616577520.8623
MEM 2598.148438 1616577520.9625
MEM 2598.148438 1616577521.0628
MEM 2598.148438 1616577521.1630
MEM 2598.148438 1616577521.2633
MEM 2599.953125 1616577521.3635
MEM 2599.953125 1616577521.4638
MEM 2599.953125 1616577521.5641
MEM 2599.953125 1616577521.6643
MEM 2599.953125 1616577521.7646
MEM 2599.953125 1616577521.8648
MEM 2599.953125 1616577521.9651
MEM 2662.085938 1616577522.0654
MEM 2662.085938 1616577522.1656
MEM 2662.085938 1616577522.2659
MEM 2662.085938 1616577522.3662
MEM 2662.085938 1616577522.4664
MEM 2662.085938 1616577522.5667
MEM 2664.148438 1616577522.6670
MEM 2664.148438 1616577522.7673
MEM 2664.148438 1616577522.8675
MEM 2664.148438 1616577522.9678
MEM 2664.148438 1616577523.0681
MEM 2726.023438 1616577523.1683
MEM 2726.023438 1616577523.2686
MEM 2726.023438 1616577523.3688
MEM 2726.023438 1616577523.4691
MEM 2728.085938 1616577523.5694
MEM 2728.085938 1616577523.6696
MEM 2728.085938 1616577523.7699
MEM 2728.085938 1616577523.8702
MEM 2728.085938 1616577523.9705
MEM 2728.085938 1616577524.0708
MEM 2789.960938 1616577524.1711
MEM 2789.960938 1616577524.2713
MEM 2789.960938 1616577524.3716
MEM 2789.960938 1616577524.4718
MEM 2789.960938 1616577524.5721
MEM 2792.023438 1616577524.6723
MEM 2792.023438 1616577524.7726
MEM 2792.023438 1616577524.8728
MEM 2792.023438 1616577524.9731
MEM 2792.023438 1616577525.0734
MEM 2853.898438 1616577525.1736
MEM 2853.898438 1616577525.2739
MEM 2853.898438 1616577525.3741
MEM 2853.898438 1616577525.4744
MEM 2855.960938 1616577525.5746
MEM 2855.960938 1616577525.6749
MEM 2855.960938 1616577525.7751
MEM 2855.960938 1616577525.8754
MEM 2855.960938 1616577525.9757
MEM 2855.960938 1616577526.0760
MEM 2855.960938 1616577526.1762
MEM 1044.671875 1616577526.2765
MEM 1044.671875 1616577526.3771
MEM 1044.671875 1616577526.4776
MEM 1044.671875 1616577526.5778
MEM 1044.671875 1616577526.6783
MEM 1044.671875 1616577526.7789
MEM 1044.671875 1616577526.8794
MEM 1044.671875 1616577526.9799
MEM 1044.671875 1616577527.0805
MEM 1044.671875 1616577527.1811
MEM 1044.671875 1616577527.2817
MEM 1044.671875 1616577527.3823
MEM 1044.671875 1616577527.4828
MEM 1044.671875 1616577527.5834
MEM 1044.671875 1616577527.6840
MEM 1044.671875 1616577527.7846
MEM 1044.671875 1616577527.8851
MEM 1044.671875 1616577527.9857
MEM 1044.671875 1616577528.0863
MEM 1044.671875 1616577528.1870
MEM 1044.671875 1616577528.2875
MEM 1044.671875 1616577528.3881
MEM 1044.671875 1616577528.4891
MEM 1044.671875 1616577528.5897
MEM 1044.671875 1616577528.6903
MEM 1048.789062 1616577528.7910
MEM 1051.882812 1616577528.8916
MEM 1054.460938 1616577528.9923
MEM 1056.265625 1616577529.0926
MEM 1057.296875 1616577529.1928
MEM 1059.359375 1616577529.2931
MEM 1060.906250 1616577529.3933
MEM 1062.968750 1616577529.4939
MEM 1064.773438 1616577529.5941
MEM 1066.835938 1616577529.6945
MEM 1069.156250 1616577529.7947
MEM 1071.218750 1616577529.8950
MEM 1072.507812 1616577529.9953
MEM 1075.085938 1616577530.0955
MEM 1076.890625 1616577530.1960
MEM 1078.695312 1616577530.2963
MEM 1080.757812 1616577530.3967
MEM 1082.304688 1616577530.4973
MEM 1084.109375 1616577530.5977
MEM 1085.140625 1616577530.6981
MEM 1086.171875 1616577530.7984
MEM 1086.171875 1616577530.8987
MEM 1086.171875 1616577530.9990
MEM 1086.171875 1616577531.0992
MEM 1086.171875 1616577531.1998
